name,image,ingredients,price,historia
"Pizza Margherita","./assets/marguerita.png","Tomate, Mozzarella, Albahaca","$10","Creada en honor a la reina Margherita de Saboya en 1889, con los colores de la bandera italiana."
"Pizza Hawaiana","./assets/hauaiana.png","Jamón, Piña, Queso","$12","Inventada por el chef Sam Panopoulos en Ontario, Canadá, en 1962, inspirada en sabores tropicales."
"Pizza Vegetariana","./assets/vegetariana.png","Pimientos, Champiñones, Cebolla","$8","Originada en la cocina italiana, se popularizó en la década de 1980 como alternativa saludable."
"Pizza Barbacoa","./assets/barbacoa.png","Carne de res, Salsa Barbacoa, Cebolla","$15","Inspirada en los sabores ahumados de la barbacoa, ganó popularidad en la cultura culinaria estadounidense."
"Pizza de Pollo BBQ","./assets/pollo_bbq.png","Pollo, Salsa BBQ, Cebolla","$13","Una variante moderna que combina el sabor ahumado de la barbacoa con la jugosidad del pollo."
"Pizza de Pepperoni","./assets/pepperoni.png","Pepperoni, Queso","$11","Adaptación estadounidense de la salamis picante italiana, se volvió una favorita en la década de 1900."
"Pizza de Jamón y Champiñones","./assets/jamon_champinones.png","Jamón, Champiñones, Queso","$11","Combinación clásica que se remonta a las pizzerías italianas tradicionales, apreciada por su sencillez."
"Pizza de Cuatro Quesos","./assets/cuatro_quesos.png","Queso Gorgonzola, Queso Parmesano, Queso Mozzarella, Queso Azul","$14","Originada en el norte de Italia, su decadente mezcla de quesos se popularizó en la década de 1970."
"Pizza Marinara","./assets/marinara.png","Tomate, Ajo, Orégano, Aceite de Oliva","$9","Una de las primeras pizzas napolitanas, con raíces en el siglo XVIII, inicialmente consumida por pescadores."
"Pizza de Carne y Champiñones","./assets/carne_champinones.png","Carne, Champiñones, Cebolla","$13","Fusión de sabores carnívoros y terrosos, popular en la cocina italiana contemporánea."
"Pizza Mexicana","./assets/mexicana.png","Carne molida, Jalapeños, Maíz, Frijoles","$12","Inspirada en los sabores vibrantes de México, fue adaptada a la pizza en restaurantes tex-mex en Estados Unidos."
"Pizza de Espinacas y Queso Feta","./assets/espinacas_queso_feta.png","Espinacas, Queso Feta, Tomate, Aceitunas","$11","Nacida de la cocina griega, se convirtió en una opción popular para los amantes de la cocina mediterránea."
"Pizza Napolitana","./assets/napolitana.png","Anchoas, Aceitunas, Tomate, Orégano","$10","Remontándose al siglo XVIII en Nápoles, Italia, se convirtió en la base de las pizzas modernas clásicas."
"Pizza de Champiñones y Pimientos","./assets/champinones_pimientos.png","Champiñones, Pimientos, Cebolla","$11","Una combinación simple y deliciosa que se destaca por su equilibrio de sabores terrosos y dulces."
"Pizza de Pesto","./assets/pesto.png","Salsa Pesto, Tomate, Queso Parmesano","$12","Originada en Génova, Italia, su fresco sabor a albahaca y nueces la convirtieron en un favorito moderno."
